default_country_code,search,orig_ad_url,work_from_home,open_source,startup,kegerator,bleeding_edge_tech,meaningful_jobs
us,bleeding_edge_tech,http://www.indeed.com/rc/clk?jk=787772c8a5b9a17b,"","","","",on,""
us,bleeding_edge_tech,http://www.indeed.com/rc/clk?jk=96b4025e160164ea,"","","","",on,""
us,bleeding_edge_tech,http://www.indeed.com/rc/clk?jk=45aca413f3e3e801,"","","","",on,""
us,bleeding_edge_tech,http://www.indeed.com/rc/clk?jk=96c9738b4ca638cb,"","","","",on,""
us,bleeding_edge_tech,http://www.indeed.com/rc/clk?jk=14e36a245256683a,"","","","",on,""
us,bleeding_edge_tech,http://www.indeed.com/rc/clk?jk=7359bcd1cec5c336,"","","","",on,""
us,bleeding_edge_tech,http://www.indeed.com/rc/clk?jk=138bda66c2bd1a77,"","","","",on,""
us,bleeding_edge_tech,http://www.indeed.com/rc/clk?jk=f77e52db2a02e84a,"","","","",on,""
us,open_source,http://www.indeed.com/rc/clk?jk=c4127ad4d1c9904a,"",on,"","","",""
us,open_source,http://www.indeed.com/rc/clk?jk=0152d2f9b685e41c,"",on,"","","",""
us,open_source,http://www.indeed.com/rc/clk?jk=66913c11940d0a7c,"",on,"","","",""
us,open_source,http://www.indeed.com/rc/clk?jk=747e9c515262735b,"",on,"","","",""
us,open_source,http://www.indeed.com/rc/clk?jk=149690afe6a7c731,"",on,"","","",""
us,open_source,http://www.indeed.com/rc/clk?jk=b605ed19abfb0f34,"",on,"","","",""
us,open_source,http://www.indeed.com/rc/clk?jk=13a4708de77a4243,"",on,"","","",""
us,open_source,http://www.indeed.com/rc/clk?jk=c59eaf6d20522c2b,"",on,"","","",""
us,open_source,http://www.indeed.com/rc/clk?jk=961099c96b5d631e,"",on,"","","",""
us,open_source,http://www.indeed.com/rc/clk?jk=76ad9818d4e06d02,"",on,"","","",""
us,open_source,http://www.indeed.com/rc/clk?jk=2fb032ce96398cb6,"",on,"","","",""
us,open_source,http://www.indeed.com/rc/clk?jk=1189963365dcb29b,"",on,"","","",""
us,open_source,http://www.indeed.com/rc/clk?jk=dbbc8301b0cca5ca,"",on,"","","",""
us,open_source,http://www.indeed.com/rc/clk?jk=cfd37eefbda96883,"",on,"","","",""
us,open_source,http://www.indeed.com/rc/clk?jk=32382fb4cd5af302,"",on,"","","",""
us,open_source,http://www.indeed.com/rc/clk?jk=a69c1b87cfaef511,"",on,"","","",""
us,open_source,http://www.indeed.com/rc/clk?jk=7bc92652df5249ad,"",on,"","","",""
us,open_source,http://www.indeed.com/rc/clk?jk=c7b7d8c09f755879,"",on,"","","",""
us,open_source,http://www.indeed.com/rc/clk?jk=064966aaf47bf2f4,"",on,"","","",""
us,open_source,http://www.indeed.com/rc/clk?jk=2843f3967532ff7a,"",on,"","","",""
us,open_source,http://www.indeed.com/rc/clk?jk=53cda6482099b6d9,"",on,"","","",""
us,open_source,http://www.indeed.com/rc/clk?jk=07a865fec970f36e,"",on,"","","",""
us,open_source,http://www.indeed.com/rc/clk?jk=2b41371ee28f2f7d,"",on,"","","",""
us,open_source,http://www.indeed.com/rc/clk?jk=f45d05e456a2168e,"",on,"","","",""
us,open_source,http://www.indeed.com/rc/clk?jk=1fb4bf338c847be4,"",on,"","","",""
us,open_source,http://www.indeed.com/rc/clk?jk=325703e138e10146,"",on,"","","",""
us,open_source,http://www.indeed.com/rc/clk?jk=0e118486d3ab1d7b,"",on,"","","",""
us,open_source,http://www.indeed.com/rc/clk?jk=42fb243b513932d1,"",on,"","","",""
us,open_source,http://www.indeed.com/rc/clk?jk=974e47bea52752ee,"",on,"","","",""
us,open_source,http://www.indeed.com/rc/clk?jk=81dbe2b0ec3a1bac,"",on,"","","",""
us,open_source,http://www.indeed.com/rc/clk?jk=cf1467e7ea26a815,"",on,"","","",""
us,open_source,http://www.indeed.com/rc/clk?jk=a7b937399e524056,"",on,"","","",""
us,open_source,http://www.indeed.com/rc/clk?jk=03dc4e774eabbce6,"",on,"","","",""
us,open_source,http://www.indeed.com/rc/clk?jk=0425ac41dae6c54d,"",on,"","","",""
us,startup,http://www.indeed.com/rc/clk?jk=6a8f6c7be295cfdd,"","",on,"","",""
us,startup,http://www.indeed.com/rc/clk?jk=231679b38f083098,"","",on,"","",""
us,startup,http://www.indeed.com/rc/clk?jk=a6f4cf452821fde4,"","",on,"","",""
us,startup,http://www.indeed.com/rc/clk?jk=e8dff96f79b6e29a,"","",on,"","",""
us,startup,http://www.indeed.com/rc/clk?jk=157ce409a1c6f550,"","",on,"","",""
us,startup,http://www.indeed.com/rc/clk?jk=90a121afd0ea620b,"","",on,"","",""
us,startup,http://www.indeed.com/rc/clk?jk=3605dd2d013416e1,"","",on,"","",""
us,startup,http://www.indeed.com/rc/clk?jk=3a53af184dca6778,"","",on,on,"",""
us,startup,http://www.indeed.com/rc/clk?jk=546e66980a11bd5f,"","",on,"","",""
us,startup,http://www.indeed.com/rc/clk?jk=f44b9153ed0e2d60,"","",on,"","",""
us,startup,http://www.indeed.com/rc/clk?jk=ca1ca6949915bcba,"","",on,"","",""
us,startup,http://www.indeed.com/rc/clk?jk=36e3a3e195ffa46d,"","",on,"","",""
us,startup,http://www.indeed.com/rc/clk?jk=001741f425b327ab,"","",on,"","",""
us,startup,http://www.indeed.com/rc/clk?jk=efdb406ee6b201a3,"","",on,"","",""
us,startup,http://www.indeed.com/rc/clk?jk=2daed1fa0b6a260a,"","",on,"","",""
us,startup,http://www.indeed.com/rc/clk?jk=0e4ba93d7f746d88,"","",on,"","",""
us,startup,http://www.indeed.com/rc/clk?jk=60117ae38896426e,"","",on,"","",""
us,startup,http://www.indeed.com/rc/clk?jk=618d0ad24cf27bcd,"","",on,"","",""
us,startup,http://www.indeed.com/rc/clk?jk=65bfec50d1013e1a,"","",on,"","",""
us,startup,http://www.indeed.com/rc/clk?jk=20110135d7c3ed11,"","",on,"","",""
us,startup,http://www.indeed.com/rc/clk?jk=e43404a499acc377,"","",on,"","",""
us,startup,http://www.indeed.com/rc/clk?jk=ebba0ff24460f049,"","",on,"","",""
us,startup,http://www.indeed.com/rc/clk?jk=5f189663868f2115,"","",on,"","",""
us,startup,http://www.indeed.com/rc/clk?jk=69686f0a2daf6059,"","",on,"","",""
us,startup,http://www.indeed.com/rc/clk?jk=b57d312aff5a7489,"","",on,"","",on
us,startup,http://www.indeed.com/rc/clk?jk=b541f5b0f2c2fa92,"","",on,"","",""
us,startup,http://www.indeed.com/rc/clk?jk=4edbb6400a2f7b2f,"","",on,"","",""
us,startup,http://www.indeed.com/rc/clk?jk=916a84194edbf835,"","",on,"","",""
us,startup,http://www.indeed.com/rc/clk?jk=2f416f803f1fc57c,"","",on,"","",""
us,startup,http://www.indeed.com/rc/clk?jk=2e3223b1f49550e9,"","",on,"","",""
us,startup,http://www.indeed.com/rc/clk?jk=de6c77f845d15f90,"","",on,"","",""
us,startup,http://www.indeed.com/rc/clk?jk=4333285dd9272fff,"","",on,"","",""
us,startup,http://www.indeed.com/rc/clk?jk=f1a33bdfd5a8c206,"","",on,"","",""
us,startup,http://www.indeed.com/rc/clk?jk=f88681c2978687da,"","",on,"","",""
us,startup,http://www.indeed.com/rc/clk?jk=0168ef079f522822,"","",on,"","",""
us,startup,http://www.indeed.com/rc/clk?jk=7398fd376218e2f4,"","",on,"","",""
us,startup,http://www.indeed.com/rc/clk?jk=5168be1ed2149e3d,"","",on,"","",""
us,startup,http://www.indeed.com/rc/clk?jk=e5006e9f3e39a392,"","",on,"","",""
us,startup,http://www.indeed.com/rc/clk?jk=3ab249e43b1ec424,"","",on,"","",""
us,startup,http://www.indeed.com/rc/clk?jk=af007dbabb557218,"","",on,on,"",""
us,startup,http://www.indeed.com/rc/clk?jk=823e72e0b9086dd6,"","",on,"","",""
us,startup,http://www.indeed.com/rc/clk?jk=c777104fd156c723,"","",on,"","",""
us,startup,http://www.indeed.com/rc/clk?jk=9780a944f54e3a9c,"","",on,"","",""
us,startup,http://www.indeed.com/rc/clk?jk=94337fd3b2baf034,"","",on,"","",""
us,startup,http://www.indeed.com/rc/clk?jk=af18281d08001000,"","",on,"","",""
us,startup,http://www.indeed.com/rc/clk?jk=2ac6fc28eded72dc,"","",on,"","",""
us,startup,http://www.indeed.com/rc/clk?jk=b7568950a43396c9,"","",on,"","",""
us,startup,http://www.indeed.com/rc/clk?jk=6752d0a970d4a7ec,"","",on,"","",""
us,startup,http://www.indeed.com/rc/clk?jk=bf97c0d07f32184b,"","",on,"","",""
us,startup,http://www.indeed.com/rc/clk?jk=378ff7d798049b94,"","",on,"","",""
us,startup,http://www.indeed.com/rc/clk?jk=48943b06093f1c4b,"","",on,"","",""
us,startup,http://www.indeed.com/rc/clk?jk=7cb980724a4cd8dc,"","",on,"","",""
us,startup,http://www.indeed.com/rc/clk?jk=488e8a5072fe570c,"","",on,"","",""
us,startup,http://www.indeed.com/rc/clk?jk=66fc04bec786c82c,"","",on,"","",""
us,startup,http://www.indeed.com/rc/clk?jk=22016138642c3f46,"","",on,"","",""
us,startup,http://www.indeed.com/rc/clk?jk=b1910d7b579cc32b,"","",on,"","",""
us,startup,http://www.indeed.com/rc/clk?jk=4d26da8c7843efab,"","",on,"","",""
us,startup,http://www.indeed.com/rc/clk?jk=05d3beccbab5c06a,"","",on,"","",""
us,startup,http://www.indeed.com/rc/clk?jk=57bfaed54a1f2875,"","",on,"","",""
us,startup,http://www.indeed.com/rc/clk?jk=5439390148e27029,"","",on,"","",""
us,startup,http://www.indeed.com/rc/clk?jk=559547c3d301be48,"","",on,"","",""
us,startup,http://www.indeed.com/rc/clk?jk=198c4b8f508fb4e9,"","",on,"","",""
us,startup,http://www.indeed.com/rc/clk?jk=1bbd2d4ec1db8b87,"","",on,"","",""
us,startup,http://www.indeed.com/rc/clk?jk=8416732868364f56,"","",on,"","",""
us,startup,http://www.indeed.com/rc/clk?jk=a6a51fb5421dbdd5,"","",on,"","",""
us,startup,http://www.indeed.com/rc/clk?jk=0d9d4d51d4fb33e1,"","",on,"","",""
us,startup,http://www.indeed.com/rc/clk?jk=cbcb2ee01ecd1117,"","",on,"","",""
us,startup,http://www.indeed.com/rc/clk?jk=a034b42d87714c26,"","",on,"","",""
us,startup,http://www.indeed.com/rc/clk?jk=0b3e1e3e00380b8a,"","",on,"","",""
us,startup,http://www.indeed.com/rc/clk?jk=1acf4e15ab49de1e,"","",on,"","",""
us,startup,http://www.indeed.com/rc/clk?jk=e89857b6ea5473ea,"","",on,"","",""
us,startup,http://www.indeed.com/rc/clk?jk=5de393cb241e271f,"","",on,"","",""
us,startup,http://www.indeed.com/rc/clk?jk=33145e38399a15c0,"","",on,"","",""
